date,PERIOD,SEASON,SITE,ID,RELIEF,TRANSECT,PatMin,MesFra,StrPur,MegUnd,DerImb,PisGig,PycHel,SteOsm,LamSpp,MacJuv,LamJuv,EisArb,PteCal,MacPyr
8/27/1980,1,FALL,4,4_45L,NA,45L,23,37,40,0,0,2,0,3,52,0,0,1,3,3
8/27/1980,1,FALL,5,5_10R,NA,10R,0,15,121,0,0,7,0,0,0,0,0,0,0,10
8/27/1980,1,FALL,5,5_22R,NA,22R,9,11,95,1,0,2,0,0,0,0,0,0,0,15
8/27/1980,1,FALL,5,5_32L,NA,32L,1,41,92,1,0,3,0,0,1,0,0,0,0,13
8/27/1980,1,FALL,5,5_39R,NA,39R,19,41,14,0,0,5,0,2,2,0,0,0,4,3
8/27/1980,1,FALL,5,5_45R,NA,45R,12,0,0,0,0,2,0,0,1,0,3,2,52,4
8/27/1980,1,FALL,6,6_10R,NA,10R,14,10,243,2,0,0,0,3,0,4,2,0,1,3
8/27/1980,1,FALL,6,6_22R,NA,22R,3,2,130,5,0,0,0,5,0,1,0,2,2,5
8/27/1980,1,FALL,6,6_32L,NA,32L,2,27,180,1,0,1,0,2,0,1,3,1,2,11
4/25/1981,2,SPRING,1,1_10R,NA,10R,0,0,13,13,0,0,0,94,35,2,2,0,23,1
4/25/1981,2,SPRING,1,1_22R,NA,22R,1,7,97,5,0,2,0,44,9,5,20,0,4,1
4/25/1981,2,SPRING,1,1_32L,NA,32L,0,0,8,15,0,1,0,35,29,7,151,0,3,3
4/25/1981,2,SPRING,1,1_39R,NA,39R,0,6,132,3,0,3,0,21,8,60,127,0,1,4
4/25/1981,2,SPRING,1,1_45R,NA,45R,1,26,103,6,0,1,0,17,8,54,58,2,0,2
4/25/1981,2,SPRING,2,2_10L,NA,10L,52,186,33,0,0,1,0,1,0,0,0,0,0,0
4/25/1981,2,SPRING,2,2_22L,NA,22L,42,71,16,0,0,3,0,4,1,125,10,0,0,0
4/25/1981,2,SPRING,2,2_32R,NA,32R,51,146,34,0,1,10,0,1,0,60,1,0,0,2
4/25/1981,2,SPRING,2,2_39L,NA,39L,34,150,203,2,0,7,0,8,1,36,19,1,0,2
4/25/1981,2,SPRING,2,2_45L,NA,45L,38,96,153,0,0,3,0,0,0,32,7,0,0,1
4/25/1981,2,SPRING,3,3_10R,NA,10R,16,32,29,0,0,6,0,143,32,5,5,6,17,7
4/25/1981,2,SPRING,3,3_22R,NA,22R,18,13,11,0,0,5,0,45,6,110,13,0,19,1
4/25/1981,2,SPRING,3,3_32L,NA,32L,6,165,76,0,0,10,0,73,0,18,11,0,1,1
4/25/1981,2,SPRING,3,3_39R,NA,39R,8,94,82,0,0,3,0,70,6,8,1,3,15,3
4/25/1981,2,SPRING,3,3_45L,NA,45L,30,195,248,0,0,8,0,92,1,9,5,2,5,3
4/25/1981,2,SPRING,4,4_10R,NA,10R,91,143,65,0,0,4,0,0,18,0,1,0,1,5
4/25/1981,2,SPRING,4,4_22L,NA,22L,9,69,78,0,0,15,0,1,4,1,1,1,0,0
4/25/1981,2,SPRING,4,4_32L,NA,32L,32,85,146,0,0,10,0,0,28,3,0,4,1,0
4/25/1981,2,SPRING,4,4_39L,NA,39L,16,53,156,0,0,2,0,5,75,12,2,4,3,2
4/25/1981,2,SPRING,4,4_45L,NA,45L,32,26,100,0,0,0,0,12,40,24,13,3,5,2
4/25/1981,2,SPRING,5,5_10R,NA,10R,8,10,128,0,0,7,0,0,0,0,1,0,0,5
4/25/1981,2,SPRING,5,5_22R,NA,22R,9,9,101,0,0,4,0,0,0,4,6,0,0,5
4/25/1981,2,SPRING,5,5_32L,NA,32L,4,52,119,0,0,2,0,0,0,0,0,0,0,5
4/25/1981,2,SPRING,5,5_39R,NA,39R,22,97,31,0,0,7,0,1,4,25,9,0,5,4
4/25/1981,2,SPRING,5,5_45R,NA,45R,41,6,1,2,0,0,0,8,6,168,230,0,14,7
4/25/1981,2,SPRING,6,6_10R,NA,10R,9,14,346,5,0,1,0,6,15,0,8,2,0,4
4/25/1981,2,SPRING,6,6_22R,NA,22R,2,6,176,7,0,0,0,23,32,7,0,3,1,7
4/25/1981,2,SPRING,6,6_32L,NA,32L,0,72,175,2,0,3,0,8,35,4,0,0,2,9
10/24/1981,3,FALL,1,1_10R,NA,10R,0,0,10,1,0,0,0,83,30,1,22,0,7,3
10/24/1981,3,FALL,1,1_22R,NA,22R,0,0,15,0,0,2,0,27,9,16,21,0,0,9
10/24/1981,3,FALL,1,1_32L,NA,32L,0,0,22,2,0,2,0,60,52,14,11,3,10,19
10/24/1981,3,FALL,1,1_39R,NA,39R,0,6,117,8,0,1,0,23,22,23,19,0,8,28
10/24/1981,3,FALL,1,1_45R,NA,45R,1,9,20,4,0,1,0,16,9,29,18,0,3,15
10/24/1981,3,FALL,2,2_10L,NA,10L,92,257,34,0,0,11,0,11,0,10,8,1,0,1
10/24/1981,3,FALL,2,2_22L,NA,22L,26,107,36,0,0,1,0,121,0,50,6,8,4,19
10/24/1981,3,FALL,2,2_32R,NA,32R,56,192,49,0,0,3,0,19,1,20,17,0,0,7
10/24/1981,3,FALL,2,2_39L,NA,39L,30,115,90,0,0,0,0,79,0,39,2,11,0,9
10/24/1981,3,FALL,2,2_45L,NA,45L,27,87,109,0,0,2,0,96,1,95,6,10,0,34
10/24/1981,3,FALL,3,3_10R,NA,10R,18,31,65,0,0,7,0,145,40,5,0,5,18,6
10/24/1981,3,FALL,3,3_22R,NA,22R,31,28,6,0,0,0,0,59,2,41,28,5,8,8
10/24/1981,3,FALL,3,3_32L,NA,32L,27,228,147,0,0,11,0,31,0,12,18,0,0,2
10/24/1981,3,FALL,3,3_39R,NA,39R,25,68,27,0,0,10,0,86,0,5,11,0,15,8
10/24/1981,3,FALL,3,3_45L,NA,45L,15,178,186,0,0,6,0,78,0,14,0,1,6,3
10/24/1981,3,FALL,4,4_10R,NA,10R,67,135,40,0,0,4,0,0,12,2,0,1,1,7
10/24/1981,3,FALL,4,4_22L,NA,22L,2,52,56,1,0,6,0,0,3,26,0,1,0,10
10/24/1981,3,FALL,4,4_32L,NA,32L,13,120,78,0,0,9,0,0,0,5,0,2,1,18
10/24/1981,3,FALL,4,4_39L,NA,39L,32,59,87,0,0,8,0,0,21,8,4,0,1,8
10/24/1981,3,FALL,4,4_45L,NA,45L,16,24,104,1,0,2,0,0,0,7,3,1,9,14
10/24/1981,3,FALL,5,5_10R,NA,10R,0,8,51,1,0,2,0,0,0,27,9,0,0,8
10/24/1981,3,FALL,5,5_22R,NA,22R,17,27,54,2,0,8,0,0,0,11,4,0,0,5
10/24/1981,3,FALL,5,5_32L,NA,32L,5,49,78,1,0,4,0,1,2,60,2,0,0,22
10/24/1981,3,FALL,5,5_39R,NA,39R,16,66,16,0,0,3,0,2,4,26,0,0,5,7
10/24/1981,3,FALL,5,5_45R,NA,45R,30,6,5,0,0,0,0,2,7,101,14,0,63,31
10/24/1981,3,FALL,6,6_10R,NA,10R,8,11,298,0,0,0,0,10,23,5,5,1,1,3
10/24/1981,3,FALL,6,6_22R,NA,22R,0,4,249,3,0,0,0,6,28,1,0,2,2,13
10/24/1981,3,FALL,6,6_32L,NA,32L,0,69,242,0,0,0,0,14,47,45,1,0,3,6
4/29/1982,4,SPRING,1,1_10R,NA,10R,0,0,13,14,0,0,0,82,61,4,2,13,0,4
4/29/1982,4,SPRING,1,1_22R,NA,22R,0,0,67,11,0,0,0,29,20,15,0,12,0,7
4/29/1982,4,SPRING,1,1_32L,NA,32L,1,0,27,1,0,0,0,70,32,4,7,3,16,13
4/29/1982,4,SPRING,1,1_39R,NA,39R,1,4,159,3,0,0,0,50,38,2,4,3,9,20
4/29/1982,4,SPRING,1,1_45R,NA,45R,0,25,71,4,0,1,0,12,25,2,0,4,5,11
4/29/1982,4,SPRING,2,2_10L,NA,10L,51,203,33,0,1,4,0,27,22,24,0,2,11,3
4/29/1982,4,SPRING,2,2_22L,NA,22L,25,62,46,0,1,2,0,117,7,27,21,16,6,17
4/29/1982,4,SPRING,2,2_32R,NA,32R,41,162,22,2,0,8,0,5,0,18,4,5,2,4
4/29/1982,4,SPRING,2,2_39L,NA,39L,8,90,118,0,0,5,0,113,0,32,1,10,6,18
4/29/1982,4,SPRING,2,2_45L,NA,45L,27,98,202,0,0,5,0,12,0,8,4,17,1,18
4/29/1982,4,SPRING,3,3_10R,NA,10R,4,46,113,1,0,5,0,123,32,20,3,5,6,8
4/29/1982,4,SPRING,3,3_22R,NA,22R,13,23,9,0,0,3,0,36,13,43,0,23,4,18
4/29/1982,4,SPRING,3,3_32L,NA,32L,15,142,51,0,0,13,0,73,0,12,0,3,2,5
4/29/1982,4,SPRING,3,3_39R,NA,39R,1,69,79,0,0,1,0,95,1,15,3,4,18,9
4/29/1982,4,SPRING,3,3_45L,NA,45L,15,204,184,0,0,5,0,57,1,17,1,0,6,4
4/29/1982,4,SPRING,4,4_10R,NA,10R,43,110,26,0,1,7,0,0,4,0,0,1,0,10
4/29/1982,4,SPRING,4,4_22L,NA,22L,10,28,45,0,0,13,0,2,3,6,0,2,0,6
4/29/1982,4,SPRING,4,4_32L,NA,32L,4,109,83,0,0,10,0,0,5,0,0,1,1,10
4/29/1982,4,SPRING,4,4_39L,NA,39L,15,74,99,0,0,4,0,0,27,0,1,3,1,12
4/29/1982,4,SPRING,4,4_45L,NA,45L,20,0,21,0,0,0,0,17,80,18,0,5,7,20
4/29/1982,4,SPRING,5,5_10R,NA,10R,4,9,100,0,0,2,0,0,1,5,0,0,0,11
4/29/1982,4,SPRING,5,5_22R,NA,22R,12,18,82,0,0,0,0,0,1,18,0,0,0,5
4/29/1982,4,SPRING,5,5_32L,NA,32L,0,51,77,0,0,5,0,0,3,13,1,0,2,17
4/29/1982,4,SPRING,5,5_39R,NA,39R,4,71,6,0,0,5,0,4,1,14,0,0,5,10
4/29/1982,4,SPRING,5,5_45R,NA,45R,22,4,1,1,0,0,0,2,4,12,4,0,51,20
4/29/1982,4,SPRING,6,6_10R,NA,10R,4,10,90,0,1,0,0,7,12,5,14,3,0,3
4/29/1982,4,SPRING,6,6_22R,NA,22R,2,7,132,0,0,0,0,5,16,0,1,4,0,16
4/29/1982,4,SPRING,6,6_32L,NA,32L,0,62,181,1,0,2,0,17,43,7,0,0,4,8
10/18/1982,5,FALL,1,1_10R,NA,10R,0,0,14,9,0,0,0,184,41,0,0,0,23,3
10/18/1982,5,FALL,1,1_22R,NA,22R,0,5,91,7,0,0,0,59,12,2,2,4,7,7
10/18/1982,5,FALL,1,1_32L,NA,32L,0,0,17,2,0,0,0,81,47,0,0,2,6,11
10/18/1982,5,FALL,1,1_39R,NA,39R,1,8,127,10,0,0,0,44,30,0,0,0,10,18
10/18/1982,5,FALL,1,1_45R,NA,45R,0,16,77,6,0,2,0,21,19,0,1,4,2,6
10/18/1982,5,FALL,2,2_10L,NA,10L,13,258,37,0,0,6,0,97,0,15,3,6,1,10
10/18/1982,5,FALL,2,2_22L,NA,22L,18,63,55,0,0,1,0,113,6,46,16,18,9,21
10/18/1982,5,FALL,2,2_32R,NA,32R,15,181,61,0,0,7,0,41,0,10,0,18,2,5
10/18/1982,5,FALL,2,2_39L,NA,39L,11,128,129,0,0,7,0,103,0,16,5,9,0,23
10/18/1982,5,FALL,2,2_45L,NA,45L,16,82,230,0,0,3,0,20,1,5,6,11,0,13
10/18/1982,5,FALL,3,3_10R,NA,10R,5,11,39,1,0,8,0,139,38,22,21,7,16,22
10/18/1982,5,FALL,3,3_22R,NA,22R,2,16,19,0,0,3,0,135,3,28,4,4,25,15
10/18/1982,5,FALL,3,3_32L,NA,32L,3,238,172,0,0,9,0,129,7,2,0,6,0,3
10/18/1982,5,FALL,3,3_39R,NA,39R,2,121,156,0,0,8,0,192,2,39,0,2,30,8
10/18/1982,5,FALL,3,3_45L,NA,45L,2,219,303,0,0,3,0,160,2,19,0,1,5,9
10/18/1982,5,FALL,4,4_10R,NA,10R,40,184,60,1,0,4,0,0,8,0,0,0,0,7
10/18/1982,5,FALL,4,4_22L,NA,22L,14,49,61,0,0,8,0,3,5,2,2,2,0,5
10/18/1982,5,FALL,4,4_32L,NA,32L,2,82,74,0,0,7,0,0,3,0,0,3,0,8
10/18/1982,5,FALL,4,4_39L,NA,39L,4,78,142,0,0,7,0,2,57,0,0,2,2,13
10/18/1982,5,FALL,4,4_45L,NA,45L,15,0,48,0,0,0,0,9,109,4,3,1,11,13
10/18/1982,5,FALL,5,5_10R,NA,10R,6,12,118,2,0,2,0,1,5,48,7,1,0,6
10/18/1982,5,FALL,5,5_22R,NA,22R,4,15,105,2,0,5,0,0,0,49,1,1,0,8
10/18/1982,5,FALL,5,5_32L,NA,32L,0,25,98,1,0,3,0,0,6,10,4,1,0,9
10/18/1982,5,FALL,5,5_39R,NA,39R,8,75,26,1,0,7,0,12,9,31,21,0,5,6
10/18/1982,5,FALL,5,5_45R,NA,45R,136,8,4,0,0,1,0,8,9,25,33,0,44,11
10/18/1982,5,FALL,6,6_10R,NA,10R,3,10,320,6,0,0,0,12,33,3,22,1,1,9
10/18/1982,5,FALL,6,6_22R,NA,22R,0,2,279,5,0,0,0,13,47,1,1,1,3,5
10/18/1982,5,FALL,6,6_32L,NA,32L,0,66,201,0,0,0,0,12,41,1,14,2,4,9
5/1/1983,6,SPRING,1,1_10R,NA,10R,1,0,44,15,0,0,0,191,49,3,4,1,11,5
5/1/1983,6,SPRING,1,1_22R,NA,22R,2,5,141,5,0,5,0,59,18,0,28,4,5,3
5/1/1983,6,SPRING,1,1_32L,NA,32L,0,1,54,4,0,1,0,102,24,0,17,2,4,1
5/1/1983,6,SPRING,1,1_39R,NA,39R,0,1,178,7,0,0,0,58,15,3,37,1,6,1
5/1/1983,6,SPRING,1,1_45R,NA,45R,0,28,128,13,0,0,0,30,12,1,27,5,1,0
5/1/1983,6,SPRING,2,2_10L,NA,10L,4,181,34,0,0,4,0,59,0,5,41,6,0,2
5/1/1983,6,SPRING,2,2_22L,NA,22L,3,27,17,0,0,4,0,128,8,18,73,16,10,19
5/1/1983,6,SPRING,2,2_32R,NA,32R,3,141,79,0,0,8,0,21,0,6,49,14,2,2
5/1/1983,6,SPRING,2,2_39L,NA,39L,2,89,111,0,0,2,0,210,0,46,30,7,0,11
5/1/1983,6,SPRING,2,2_45L,NA,45L,5,71,225,1,0,4,0,34,1,39,0,23,0,6
5/1/1983,6,SPRING,3,3_10R,NA,10R,2,21,36,0,0,1,0,88,31,14,6,6,20,9
5/1/1983,6,SPRING,3,3_22R,NA,22R,0,29,46,0,0,5,0,106,4,15,0,3,22,8
5/1/1983,6,SPRING,3,3_32L,NA,32L,3,152,181,0,0,9,0,101,0,5,2,4,1,3
5/1/1983,6,SPRING,3,3_39R,NA,39R,1,73,117,0,0,5,0,106,2,13,0,1,24,4
5/1/1983,6,SPRING,3,3_45L,NA,45L,1,101,322,0,0,9,0,100,0,4,0,1,5,5
5/1/1983,6,SPRING,4,4_10R,NA,10R,25,153,49,0,0,2,0,0,3,0,0,0,0,4
5/1/1983,6,SPRING,4,4_22L,NA,22L,3,38,89,0,0,7,0,4,5,0,0,2,0,2
5/1/1983,6,SPRING,4,4_32L,NA,32L,0,101,93,0,0,8,0,0,10,0,0,1,0,3
5/1/1983,6,SPRING,4,4_39L,NA,39L,4,52,216,1,0,10,0,2,52,0,0,4,1,4
5/1/1983,6,SPRING,4,4_45L,NA,45L,4,0,36,0,0,0,0,24,84,0,1,3,13,11
5/1/1983,6,SPRING,5,5_10R,NA,10R,3,14,108,0,0,8,0,0,6,14,3,2,0,9
5/1/1983,6,SPRING,5,5_22R,NA,22R,0,24,100,2,0,4,0,0,2,17,0,1,0,21
5/1/1983,6,SPRING,5,5_32L,NA,32L,0,60,54,0,0,6,0,0,2,7,2,0,0,9
5/1/1983,6,SPRING,5,5_39R,NA,39R,3,61,14,0,0,5,0,11,6,7,2,0,4,3
5/1/1983,6,SPRING,5,5_45R,NA,45R,27,7,2,0,0,0,0,6,6,7,2,0,28,2
5/1/1983,6,SPRING,6,6_10R,NA,10R,1,8,368,4,0,0,0,13,45,2,0,1,0,4
5/1/1983,6,SPRING,6,6_22R,NA,22R,2,2,286,9,0,0,0,24,42,0,0,2,2,1
5/1/1983,6,SPRING,6,6_32L,NA,32L,0,42,228,2,0,2,0,27,44,11,0,3,0,1
9/15/1983,7,FALL,1,1_10R,NA,10R,0,0,10,13,0,0,0,194,43,7,0,1,8,2
9/15/1983,7,FALL,1,1_22R,NA,22R,2,3,96,6,0,0,0,65,17,78,2,5,8,30
9/15/1983,7,FALL,1,1_32L,NA,32L,0,0,25,2,0,0,0,95,27,63,11,0,26,38
9/15/1983,7,FALL,1,1_39R,NA,39R,0,4,57,15,0,0,0,57,18,57,0,1,3,42
9/15/1983,7,FALL,1,1_45R,NA,45R,0,22,73,1,0,0,0,33,13,44,6,1,2,40
9/15/1983,7,FALL,2,2_10L,NA,10L,4,212,65,0,0,14,0,69,1,111,0,8,1,4
9/15/1983,7,FALL,2,2_22L,NA,22L,0,38,51,0,0,1,0,143,8,196,48,16,8,11
9/15/1983,7,FALL,2,2_32R,NA,32R,0,157,133,0,0,7,0,27,0,223,24,7,2,0
9/15/1983,7,FALL,2,2_39L,NA,39L,1,93,190,0,0,5,0,156,1,14,3,20,2,11
9/15/1983,7,FALL,2,2_45L,NA,45L,1,55,274,0,0,1,0,85,2,52,10,17,5,4
9/15/1983,7,FALL,3,3_10R,NA,10R,1,48,123,0,0,3,0,119,29,105,17,6,15,9
9/15/1983,7,FALL,3,3_22R,NA,22R,0,33,69,1,0,2,0,110,7,120,56,7,57,5
9/15/1983,7,FALL,3,3_32L,NA,32L,2,204,266,0,0,11,0,125,0,35,25,2,1,4
9/15/1983,7,FALL,3,3_39R,NA,39R,0,49,113,2,0,0,0,322,2,89,29,5,36,4
9/15/1983,7,FALL,3,3_45L,NA,45L,3,102,326,1,0,2,0,212,4,129,0,3,0,2
9/15/1983,7,FALL,4,4_10R,NA,10R,5,176,47,0,0,8,0,0,2,35,0,0,1,9
9/15/1983,7,FALL,4,4_22L,NA,22L,2,53,113,0,0,4,0,0,9,206,23,7,8,2
9/15/1983,7,FALL,4,4_32L,NA,32L,0,73,59,0,0,11,0,0,3,186,6,7,0,0
9/15/1983,7,FALL,4,4_39L,NA,39L,0,52,103,0,0,1,0,5,40,168,3,9,29,49
9/15/1983,7,FALL,4,4_45L,NA,45L,2,0,40,0,0,0,0,5,74,303,108,0,122,0
9/15/1983,7,FALL,5,5_10R,NA,10R,0,13,117,1,0,4,0,0,8,123,1,2,2,21
9/15/1983,7,FALL,5,5_22R,NA,22R,2,27,87,0,0,2,0,0,4,27,14,1,0,10
9/15/1983,7,FALL,5,5_32L,NA,32L,0,40,65,0,0,2,0,0,4,67,4,0,0,6
9/15/1983,7,FALL,5,5_39R,NA,39R,0,73,17,0,0,4,0,13,12,117,43,1,39,3
9/15/1983,7,FALL,5,5_45R,NA,45R,10,9,7,0,0,2,0,11,11,394,18,0,190,23
2/19/1984,8,SPRING,1,1_32L,NA,32L,0,1,46,10,0,0,0,95,20,0,0,2,3,36
2/19/1984,8,SPRING,1,1_39R,NA,39R,1,3,133,5,0,0,0,53,9,0,0,1,4,27
2/19/1984,8,SPRING,1,1_45R,NA,45R,0,17,65,9,0,1,0,53,12,0,0,2,0,30
2/19/1984,8,SPRING,4,4_10R,NA,10R,0,101,54,0,0,7,0,0,2,5,0,0,0,14
2/19/1984,8,SPRING,4,4_22L,NA,22L,2,34,97,0,0,5,0,6,7,58,0,6,22,31
2/19/1984,8,SPRING,4,4_32L,NA,32L,0,43,58,0,0,4,0,6,5,33,0,4,0,65
2/19/1984,8,SPRING,4,4_39L,NA,39L,1,68,93,0,0,2,0,19,29,93,0,8,7,52
2/19/1984,8,SPRING,4,4_45L,NA,45L,0,41,59,0,0,6,0,15,7,57,0,23,20,56
2/19/1984,8,SPRING,5,5_10R,NA,10R,0,7,64,0,0,1,0,0,11,21,0,4,11,26
2/19/1984,8,SPRING,5,5_22R,NA,22R,0,22,94,2,0,6,0,0,3,13,1,2,0,8
2/19/1984,8,SPRING,5,5_32L,NA,32L,0,15,90,0,0,0,0,5,2,30,6,1,0,12
2/19/1984,8,SPRING,5,5_39R,NA,39R,0,34,25,0,0,4,0,20,13,68,2,0,52,28
2/19/1984,8,SPRING,5,5_45R,NA,45R,0,5,7,3,0,0,0,97,13,111,2,0,151,84
10/3/1984,9,FALL,1,1_10R,NA,10R,0,0,1,13,0,0,0,141,34,0,0,1,7,2
10/3/1984,9,FALL,1,1_22R,NA,22R,0,3,44,15,0,0,0,52,14,1,0,2,3,11
10/3/1984,9,FALL,1,1_32L,NA,32L,0,0,23,13,0,0,0,77,20,0,0,1,3,12
10/3/1984,9,FALL,1,1_39R,NA,39R,0,0,102,24,0,0,0,43,13,2,1,2,3,15
10/3/1984,9,FALL,1,1_45R,NA,45R,0,23,27,16,0,0,0,50,11,1,0,3,1,7
10/3/1984,9,FALL,2,2_10L,NA,10L,2,194,70,1,0,0,0,169,2,0,0,3,1,1
10/3/1984,9,FALL,2,2_22L,NA,22L,1,39,86,2,0,0,0,175,10,0,1,9,12,9
10/3/1984,9,FALL,2,2_32R,NA,32R,0,204,126,0,0,1,0,80,1,0,0,0,1,7
10/3/1984,9,FALL,2,2_39L,NA,39L,0,114,212,1,0,0,0,251,2,0,0,11,3,7
10/3/1984,9,FALL,2,2_45L,NA,45L,0,53,260,2,0,0,0,299,1,0,0,6,2,8
10/3/1984,9,FALL,3,3_10R,NA,10R,0,80,161,2,0,0,0,107,34,0,0,4,13,4
10/3/1984,9,FALL,3,3_22R,NA,22R,1,31,78,0,0,0,0,227,7,0,0,7,39,18
10/3/1984,9,FALL,3,3_32L,NA,32L,0,196,229,2,0,0,0,89,0,0,0,2,0,4
10/3/1984,9,FALL,3,3_39R,NA,39R,0,50,154,0,0,0,0,331,3,0,0,2,18,7
10/3/1984,9,FALL,3,3_45L,NA,45L,0,111,257,0,0,0,0,262,4,0,0,2,9,7
10/3/1984,9,FALL,4,4_10R,NA,10R,0,165,32,0,0,5,0,0,0,0,0,0,0,6
10/3/1984,9,FALL,4,4_22L,NA,22L,0,44,83,0,0,2,0,3,0,0,0,0,0,6
10/3/1984,9,FALL,4,4_32L,NA,32L,0,47,64,0,0,4,0,4,6,0,0,1,0,19
10/3/1984,9,FALL,4,4_39L,NA,39L,0,67,136,0,0,0,0,8,11,0,3,2,0,20
10/3/1984,9,FALL,4,4_45L,NA,45L,0,23,140,0,0,0,0,6,3,0,2,0,1,11
10/3/1984,9,FALL,5,5_10R,NA,10R,0,8,135,0,0,0,0,0,0,0,0,0,0,10
10/3/1984,9,FALL,5,5_22R,NA,22R,0,29,98,0,0,4,0,0,2,0,0,0,0,3
10/3/1984,9,FALL,5,5_32L,NA,32L,1,13,108,0,0,1,0,1,1,0,0,1,0,2
10/3/1984,9,FALL,5,5_39R,NA,39R,0,41,32,0,0,1,0,46,1,0,1,0,1,13
10/3/1984,9,FALL,5,5_45R,NA,45R,3,5,2,3,0,1,0,26,1,0,1,0,4,36
10/3/1984,9,FALL,6,6_10R,NA,10R,0,11,211,1,0,0,0,54,32,0,0,1,0,7
10/3/1984,9,FALL,6,6_22R,NA,22R,0,1,193,1,0,0,0,91,43,0,0,2,0,4
10/3/1984,9,FALL,6,6_32L,NA,32L,0,36,122,0,0,1,0,36,29,0,0,4,0,6
10/3/1984,9,FALL,6,6_39L,NA,39L,0,8,79,1,0,0,0,9,36,0,0,3,0,2
4/24/1985,10,SPRING,1,1_22R,NA,22R,0,5,203,15,0,1,0,61,13,1,15,3,2,6
4/24/1985,10,SPRING,1,1_32L,NA,32L,0,0,63,16,0,0,0,66,20,0,1,3,2,5
4/24/1985,10,SPRING,1,1_39R,NA,39R,0,2,272,16,0,0,0,41,11,0,1,2,0,11
4/24/1985,10,SPRING,1,1_45R,NA,45R,0,19,173,10,0,2,0,13,6,0,0,0,0,5
4/24/1985,10,SPRING,2,2_10L,NA,10L,0,220,146,1,0,2,0,120,2,0,0,1,0,0
4/24/1985,10,SPRING,2,2_22L,NA,22L,0,69,171,10,0,6,0,123,6,0,1,12,1,4
4/24/1985,10,SPRING,2,2_32R,NA,32R,0,211,125,1,0,1,0,31,0,0,0,0,0,3
4/24/1985,10,SPRING,2,2_39L,NA,39L,0,95,198,1,0,1,0,188,2,0,0,6,0,2
4/24/1985,10,SPRING,2,2_45L,NA,45L,1,96,237,4,0,1,0,170,2,0,0,4,1,8
4/24/1985,10,SPRING,3,3_10R,NA,10R,0,93,276,2,0,1,0,130,20,0,0,2,12,3
4/24/1985,10,SPRING,3,3_22R,NA,22R,0,38,76,2,0,0,0,324,8,0,0,3,28,9
4/24/1985,10,SPRING,3,3_32L,NA,32L,0,221,438,0,0,0,0,15,0,0,0,1,1,0
4/24/1985,10,SPRING,3,3_39R,NA,39R,0,81,262,4,0,0,0,390,5,68,11,2,14,2
4/24/1985,10,SPRING,3,3_45L,NA,45L,0,197,461,8,0,2,0,92,2,0,4,3,3,1
4/24/1985,10,SPRING,4,4_10R,NA,10R,0,179,81,0,0,1,0,0,0,0,0,0,0,4
4/24/1985,10,SPRING,4,4_22L,NA,22L,0,66,123,0,0,3,0,0,0,0,0,0,0,1
4/24/1985,10,SPRING,4,4_32L,NA,32L,0,64,93,0,0,8,0,0,3,0,0,0,0,8
4/24/1985,10,SPRING,4,4_39L,NA,39L,0,70,201,0,0,0,0,1,10,0,0,0,0,9
